V(V),I(A),|V|(V),|I|(A),1/|V|(1/V),ln(|I|/V^2),Device_area(um^2),Device_thickness(nm)
-3,-1.17E-07,3.0000000000000107,1.1651561482757622e-07,0.33333333333333215,-18.16246512,20,2
-2.95,-1.20E-07,2.950000000000011,1.198628591991126e-07,0.3389830508474564,-18.10052793,20,2
-2.9,-1.09E-07,2.900000000000011,1.0910719596462202e-07,0.34482758620689524,-18.16035646,20,2
-2.85,-9.78E-08,2.850000000000011,9.780350891557776e-08,0.3508771929824548,-18.23494337,20,2
-2.8,-8.37E-08,2.8000000000000114,8.367888404891555e-08,0.3571428571428557,-18.35551801,20,2
-2.75,-7.08E-08,2.7500000000000115,7.077019222290495e-08,0.3636363636363621,-18.48702976,20,2
-2.7,-5.02E-08,2.7000000000000117,5.023984075895078e-08,0.37037037037036874,-18.79296103,20,2
-2.65,-4.09E-08,2.650000000000012,4.085328893963887e-08,0.37735849056603604,-18.96239779,20,2
-2.6,-4.02E-08,2.600000000000012,4.0231460168915885e-08,0.3846153846153828,-18.93963945,20,2
-2.55,-2.84E-08,2.5500000000000123,2.835879390131039e-08,0.39215686274509615,-19.25051538,20,2
-2.5,-1.97E-08,2.5000000000000124,1.974637615939716e-08,0.4,-19.57287731,20,2
-2.45,-1.62E-08,2.4500000000000126,1.6161726762931646e-08,0.40816326530612035,-19.73279598,20,2
-2.4,-1.32E-08,2.400000000000013,1.3248374746185266e-08,0.41666666666666446,-19.89032843,20,2
-2.35,-1.27E-08,2.350000000000013,1.2710709776548767e-08,0.4255319148936147,-19.88965157,20,2
-2.3,-9.46E-09,2.300000000000013,9.458452640432674e-09,0.43478260869564966,-20.14217528,20,2
-2.25,-7.89E-09,2.2500000000000133,7.894038351174404e-09,0.4444444444444418,-20.27901843,20,2
-2.2,-5.18E-09,2.2000000000000135,5.17851683568482e-09,0.45454545454545175,-20.65566187,20,2
-2.15,-4.25E-09,2.1500000000000137,4.249969117137078e-09,0.4651162790697645,-20.8072898,20,2
-2.1,-3.39E-09,2.100000000000014,3.3897081425630347e-09,0.47619047619047306,-20.9863967,20,2
-2.05,-2.20E-09,2.050000000000014,2.1986984446497666e-09,0.48780487804877715,-21.37107985,20,2
-2,-1.78E-09,2.000000000000014,1.7789642201467646e-09,0.49999999999999645,-21.5335289,20,2
-1.95,-1.09E-09,1.9500000000000144,1.0928512631849945e-09,0.512820513,-21.97013446,20,2
-1.9,-8.04E-10,1.9000000000000146,8.035095288236299e-10,0.5263157894736802,-22.22573984,20,2
-1.85,-5.56E-10,1.8500000000000147,5.556434047183585e-10,0.5405405405405362,-22.54126566,20,2
-1.8,-3.38E-10,1.800000000000015,3.3782436759144305e-10,0.5555555555555509,-22.98406831,20,2
-1.75,-2.84E-10,1.750000000000015,2.841400134478511e-10,0.5714285714285665,-23.10078557,20,2
-1.7,-1.62E-10,1.7000000000000153,1.623275300340689e-10,0.5882352941176417,-23.60266153,20,2
-1.65,-1.10E-10,1.6500000000000155,1.1042424846476267e-10,0.6060606060606004,-23.92824194,20,2
-1.6,-7.30E-11,1.6000000000000156,7.302568632638759e-11,0.6249999999999939,-24.28021713,20,2
-1.55,-4.38E-11,1.5500000000000158,4.377392932891706e-11,0.6451612903225741,-24.72849256,20,2
-1.5,-2.63E-11,1.500000000000016,2.63265064739466e-11,0.6666666666666595,-25.17137505,20,2
-1.45,-1.33E-11,1.4500000000000162,1.3349693557437307e-11,0.6896551724137854,-25.7826548,20,2
-1.4,-6.92E-12,1.4000000000000163,6.92102803659538e-12,0.714285714,-26.36940127,20,2
-1.35,-3.77E-12,1.3500000000000165,3.770794770103232e-12,0.7407407407407317,-26.90394451,20,2
-1.3,-1.50E-12,1.3000000000000167,1.4961933589260145e-12,0.7692307692307594,-27.75282552,20,2
-1.25,-7.27E-13,1.2500000000000169,7.266920429746757e-13,0.7999999999999892,-28.39656071,20,2
-1.2,-3.27E-13,1.200000000000017,3.2724650913961925e-13,0.8333333333333215,-29.11270577,20,2
-1.15,-1.42E-13,1.1500000000000172,1.4166371194787986e-13,0.8695652173912913,-29.86484426,20,2
-1.1,-6.59E-14,1.1000000000000174,6.589040766261714e-14,0.9090909090908947,-30.54140388,20,2
-1.05,-1.93E-14,1.0500000000000176,1.934133437556978e-14,0.9523809523809365,-31.67411224,20,2
-1,-6.62E-15,1.0000000000000178,6.6186841031785665e-15,0.9999999999999822,-32.64887982,20,2
-0.95,-2.37E-15,0.9500000000000179,2.365892570173534e-15,1.0526315789473486,-33.57503445,20,2
-0.9,-4.67E-16,0.9000000000000181,4.666183932276227e-16,1.1111111111110887,-35.09029886,20,2
-0.85,-1.15E-16,0.8500000000000183,1.1493855507235823e-16,1.1764705882352688,-36.37709613,20,2
-0.8,-1.60E-17,0.8000000000000185,1.6032626288104598e-17,1.2499999999999711,-38.22561878,20,2
-0.75,-2.49E-18,0.7500000000000187,2.4913312721749553e-18,1.3333333333333002,-39.95835031,20,2
-0.7,-2.41E-19,0.7000000000000188,2.409237530463509e-19,1.4285714285713902,-42.15645656,20,2
-0.65,-2.01E-20,0.65,2.0147765542346904e-20,1.5384615384614935,-44.48962773,20,2
-0.6,-1.20E-21,0.6000000000000192,1.2037325227616219e-21,1.6666666666666134,-47.14720854,20,2
-0.55,-2.53E-23,0.5500000000000194,2.5307362512937677e-23,1.8181818181817542,-50.83527287,20,2
-0.5,-5.16E-25,0.5000000000000195,5.164023764746281e-25,1.9999999999999218,-54.53661689,20,2
-0.45,-3.07E-27,0.4500000000000197,3.0651695429358926e-27,2.222222222222125,-59.45267923,20,2
-0.4,-4.79E-30,0.4000000000000199,4.7886653648002476e-30,2.4999999999998757,-65.67871958,20,2
-0.35,-1.26E-33,0.3500000000000201,1.261253356616958e-33,2.8571428571426933,-73.65355787,20,2
-0.3,-3.22E-38,0.30000000000002025,3.2229107744714417e-38,3.3333333333331083,-83.92000301,20,2
-0.25,-8.79E-45,0.25000000000002043,8.792979405783442e-45,3.999999999999673,-98.66978685,20,2
-0.2,-1.74E-54,0.2000000000000206,1.7440846641591838e-54,4.999999999999485,-120.5644893,20,2
-0.15,-1.13E-70,0.15000000000002078,1.1347746960449509e-70,6.666666666665743,-157.2602824,20,2
-0.1,-8.90E-103,0.10000000000002096,8.897350992969297e-103,9.999999999997904,-230.3753408,20,2
0.1,6.899103373692976e-103,0.1,6.899103373692976e-103,10,-230.6297029,20,2
0.15000000000000002,9.821745233118004e-71,0.15000000000000002,9.821745233118004e-71,6.666666666666666,-157.4047028,20,2
0.20000000000000004,1.7312649183077767e-54,0.20000000000000004,1.7312649183077767e-54,4.999999999999999,-120.5718669,20,2
0.25000000000000006,9.75226333016561e-45,0.25000000000000006,9.75226333016561e-45,3.999999999999999,-98.56624107,20,2
0.30000000000000004,3.850097842650954e-38,0.30000000000000004,3.850097842650954e-38,3.333333333333333,-83.74218936,20,2
0.3500000000000001,1.7285123269069956e-33,0.3500000000000001,1.7285123269069956e-33,2.8571428571428563,-73.33840271,20,2
0.40000000000000013,5.4610449369086774e-30,0.40000000000000013,5.4610449369086774e-30,2.499999999999999,-65.54733117,20,2
0.45000000000000007,3.630684731844323e-27,0.45000000000000007,3.630684731844323e-27,2.222222222222222,-59.28336086,20,2
0.5000000000000001,4.126644245588924e-25,0.5000000000000001,4.126644245588924e-25,1.9999999999999996,-54.76086842,20,2
0.5500000000000002,2.9410405982327565e-23,0.5500000000000002,2.9410405982327565e-23,1.8181818181818177,-50.68501967,20,2
0.6000000000000002,9.430114150053391e-22,0.6000000000000002,9.430114150053391e-22,1.666666666666666,-47.3913126,20,2
0.6500000000000001,2.000692226517118e-20,0.6500000000000001,2.000692226517118e-20,1.538461538461538,-44.49664279,20,2
0.7000000000000002,2.2713275793845436e-19,0.7000000000000002,2.2713275793845436e-19,1.4285714285714282,-42.21540238,20,2
0.7500000000000002,2.7981229256469628e-18,0.7500000000000002,2.7981229256469628e-18,1.333333333333333,-39.84221872,20,2
0.8000000000000002,1.768839257949305e-17,0.8000000000000002,1.768839257949305e-17,1.2499999999999998,-38.12733593,20,2
0.8500000000000002,8.471619111063018e-17,0.8500000000000002,8.471619111063018e-17,1.176470588235294,-36.68218707,20,2
0.9000000000000002,4.2599347525444424e-16,0.9000000000000002,4.2599347525444424e-16,1.1111111111111107,-35.18138661,20,2
0.9500000000000003,2.064677159349299e-15,0.9500000000000003,2.064677159349299e-15,1.0526315789473681,-33.71121593,20,2
1.0000000000000004,7.82976992891886e-15,1.0000000000000004,7.82976992891886e-15,0.9999999999999996,-32.48084327,20,2
1.0500000000000003,2.888145243782128e-14,1.0500000000000003,2.888145243782128e-14,0.9523809523809521,-31.27315712,20,2
1.1000000000000005,9.325400419762122e-14,1.1000000000000005,9.325400419762122e-14,0.9090909090909086,-30.19406976,20,2
1.1500000000000004,1.7217020353524274e-13,1.1500000000000004,1.7217020353524274e-13,0.8695652173913041,-29.66981674,20,2
1.2000000000000004,3.4266102685634027e-13,1.2000000000000004,3.4266102685634027e-13,0.833333333,-29.06667781,20,2
1.2500000000000004,6.610805448328061e-13,1.2500000000000004,6.610805448328061e-13,0.7999999999999997,-28.49118781,20,2
1.3000000000000005,1.960155278905071e-12,1.3000000000000005,1.960155278905071e-12,0.7692307692307689,-27.48272595,20,2
1.3500000000000005,3.407528704886191e-12,1.3500000000000005,3.407528704886191e-12,0.7407407407407405,-27.00524299,20,2
1.4000000000000006,6.928625241384999e-12,1.4000000000000006,6.928625241384999e-12,0.714285714,-26.36830417,20,2
1.4500000000000006,1.243525277428009e-11,1.4500000000000006,1.243525277428009e-11,0.6896551724137928,-25.85361282,20,2
1.5000000000000004,2.3551722324926885e-11,1.5000000000000004,2.3551722324926885e-11,0.6666666666666665,-25.28275238,20,2
1.5500000000000005,4.768507562357838e-11,1.5500000000000005,4.768507562357838e-11,0.6451612903225804,-24.64291251,20,2
1.6000000000000005,6.983188444960522e-11,1.6000000000000005,6.983188444960522e-11,0.6249999999999998,-24.32493767,20,2
1.6500000000000006,1.0784418055259746e-10,1.6500000000000006,1.0784418055259746e-10,0.6060606060606059,-23.95188428,20,2
1.7000000000000006,1.5011258223407902e-10,1.7000000000000006,1.5011258223407902e-10,0.5882352941176469,-23.68089206,20,2
1.7500000000000007,2.1078178167415058e-10,1.7500000000000007,2.1078178167415058e-10,0.5714285714285712,-23.3994293,20,2
1.8000000000000007,3.726171816247821e-10,1.8000000000000007,3.726171816247821e-10,0.5555555555555554,-22.88604288,20,2
1.8500000000000008,5.813979342950696e-10,1.8500000000000008,5.813979342950696e-10,0.5405405405405403,-22.49595696,20,2
1.9000000000000008,1.078574273238831e-09,1.9000000000000008,1.078574273238831e-09,0.526315789,-21.93133356,20,2
1.9500000000000006,1.2192509042092655e-09,1.9500000000000006,1.2192509042092655e-09,0.5128205128205127,-21.86068792,20,2
2.0000000000000004,1.9130444881257897e-09,2.0000000000000004,1.9130444881257897e-09,0.4999999999999999,-21.46086425,20,2
2.0500000000000007,2.1417497538790154e-09,2.0500000000000007,2.1417497538790154e-09,0.4878048780487803,-21.39732229,20,2
2.100000000000001,2.6395522116260127e-09,2.100000000000001,2.6395522116260127e-09,0.47619047619047594,-21.23653124,20,2
2.150000000000001,3.6388687137318408e-09,2.150000000000001,3.6388687137318408e-09,0.46511627906976727,-20.96252868,20,2
2.2000000000000006,4.9696635471367344e-09,2.2000000000000006,4.9696635471367344e-09,0.4545454545454544,-20.69682842,20,2
2.250000000000001,9.62893587930369e-09,2.250000000000001,9.62893587930369e-09,0.44444444444444425,-20.08035355,20,2
2.3000000000000007,8.279256709853086e-09,2.3000000000000007,8.279256709853086e-09,0.43478260869565205,-20.27533089,20,2
2.350000000000001,1.3324456709792607e-08,2.350000000000001,1.3324456709792607e-08,0.42553191489361686,-19.8424953,20,2
2.400000000000001,1.327865571005623e-08,2.400000000000001,1.327865571005623e-08,0.4166666666666665,-19.8880454,20,2
2.450000000000001,2.1497075103419938e-08,2.450000000000001,2.1497075103419938e-08,0.4081632653061223,-19.447525,20,2
2.500000000000001,2.483851590150054e-08,2.500000000000001,2.483851590150054e-08,0.39999999999999986,-19.34345179,20,2
2.5500000000000007,2.8494939682507893e-08,2.5500000000000007,2.8494939682507893e-08,0.3921568627450979,-19.24572604,20,2
2.600000000000001,3.553378667764069e-08,2.600000000000001,3.553378667764069e-08,0.38461538461538447,-19.06380475,20,2
2.650000000000001,3.978147406620612e-08,2.650000000000001,3.978147406620612e-08,0.3773584905660376,-18.98898379,20,2
2.700000000000001,5.6070714542638914e-08,2.700000000000001,5.6070714542638914e-08,0.37037037037037024,-18.68315573,20,2
2.750000000000001,5.955942993181298e-08,2.750000000000001,5.955942993181298e-08,0.36363636363636354,-18.65949302,20,2
2.800000000000001,6.403330812156546e-08,2.800000000000001,6.403330812156546e-08,0.357142857,-18.62310128,20,2
2.850000000000001,7.559704886853775e-08,2.850000000000001,7.559704886853775e-08,0.350877193,-18.49248658,20,2
2.900000000000001,1.0925554450198055e-07,2.900000000000001,1.0925554450198055e-07,0.34482758620689646,-18.15899773,20,2
2.950000000000001,1.5614324844324644e-07,2.950000000000001,1.5614324844324644e-07,0.3389830508474575,-17.83610233,20,2
3.000000000000001,1.5029890422071133e-07,3.000000000000001,1.5029890422071133e-07,0.33333333333333326,-17.90786441,20,2
3.050000000000001,1.6857976836311058e-07,3.050000000000001,1.6857976836311058e-07,0.32786885245901626,-17.82613998,20,2
3.100000000000001,2.0688218440672901e-07,3.100000000000001,2.0688218440672901e-07,0.3225806451612902,-17.65392059,20,2
3.1500000000000012,2.752665315457981e-07,3.1500000000000012,2.752665315457981e-07,0.31746031746031733,-17.40033091,20,2
3.200000000000001,2.7266434578295347e-07,3.200000000000001,2.7266434578295347e-07,0.3124999999999999,-17.44132592,20,2
3.2500000000000013,2.865573332933806e-07,3.2500000000000013,2.865573332933806e-07,0.30769230769230754,-17.4226372,20,2
3.300000000000001,4.0369062611794286e-07,3.300000000000001,4.0369062611794286e-07,0.3030303030303029,-17.11046197,20,2
3.350000000000001,4.1847724154840266e-07,3.350000000000001,4.1847724154840266e-07,0.2985074626865671,-17.10456402,20,2
3.4000000000000012,5.532258147003702e-07,3.4000000000000012,5.532258147003702e-07,0.29411764705882343,-16.85505044,20,2
3.450000000000001,5.189890292802845e-07,3.450000000000001,5.189890292802845e-07,0.289855072,-16.94813155,20,2
3.5000000000000013,4.816781280093498e-07,3.5000000000000013,4.816781280093498e-07,0.2857142857142856,-17.05151567,20,2
3.550000000000001,5.307680102604622e-07,3.550000000000001,5.307680102604622e-07,0.2816901408450703,-16.98283601,20,2
3.6000000000000014,9.027736038696888e-07,3.6000000000000014,9.027736038696888e-07,0.2777777777777777,-16.47966172,20,2
3.6500000000000012,1.01924903854665e-06,3.6500000000000012,1.01924903854665e-06,0.27397260273972596,-16.38589877,20,2
3.7000000000000015,8.735359642779603e-07,3.7000000000000015,8.735359642779603e-07,0.2702702702702702,-16.56738217,20,2
3.7500000000000013,9.443877484997492e-07,3.7500000000000013,9.443877484997492e-07,0.26666666666666655,-16.51624068,20,2
3.800000000000001,1.3516286390285172e-06,3.800000000000001,1.3516286390285172e-06,0.26315789473684204,-16.18420243,20,2
3.8500000000000014,1.048952863912047e-06,3.8500000000000014,1.048952863912047e-06,0.25974025974025966,-16.46386446,20,2
3.9000000000000012,1.1926672486005339e-06,3.9000000000000012,1.1926672486005339e-06,0.25641025641025633,-16.36127148,20,2
3.9500000000000015,1.6250939195735527e-06,3.9500000000000015,1.6250939195735527e-06,0.2531645569620252,-16.07737611,20,2
4.000000000000001,1.5479753243483579e-06,4.000000000000001,1.5479753243483579e-06,0.24999999999999994,-16.15115145,20,2
4.050000000000002,1.7923062701576392e-06,4.050000000000002,1.7923062701576392e-06,0.24691358024691348,-16.02944111,20,2
4.100000000000001,1.9201736849316394e-06,4.100000000000001,1.9201736849316394e-06,0.24390243902439016,-15.98506886,20,2
4.150000000000001,2.2490891713104693e-06,4.150000000000001,2.2490891713104693e-06,0.24096385542168666,-15.8512019,20,2
4.200000000000001,2.844537369279026e-06,4.200000000000001,2.844537369279026e-06,0.23809523809523803,-15.64027917,20,2
4.250000000000001,2.5825001236264363e-06,4.250000000000001,2.5825001236264363e-06,0.23529411764705876,-15.76059055,20,2
4.300000000000001,3.0306897457345915e-06,4.300000000000001,3.0306897457345915e-06,0.2325581395348837,-15.62395037,20,2
4.350000000000001,2.2671295312432047e-06,4.350000000000001,2.2671295312432047e-06,0.22988505747126428,-15.93734774,20,2
4.400000000000001,3.2392901320538593e-06,4.400000000000001,3.2392901320538593e-06,0.2272727272727272,-15.60336543,20,2
4.450000000000001,3.1404535290238255e-06,4.450000000000001,3.1404535290238255e-06,0.22471910112359544,-15.65695152,20,2
4.500000000000001,3.2212081224204496e-06,4.500000000000001,3.2212081224204496e-06,0.22222222222222218,-15.65390887,20,2
4.550000000000001,3.6424051635522014e-06,4.550000000000001,3.6424051635522014e-06,0.21978021978021975,-15.5531208,20,2
4.600000000000001,4.2300714195899645e-06,4.600000000000001,4.2300714195899645e-06,0.21739130434782603,-15.42540429,20,2
4.650000000000001,5.408458304516916e-06,4.650000000000001,5.408458304516916e-06,0.21505376344086016,-15.20128092,20,2
4.700000000000001,4.2626961217165675e-06,4.700000000000001,4.2626961217165675e-06,0.21276595744680846,-15.46073372,20,2
4.750000000000001,5.516910495102948e-06,4.750000000000001,5.516910495102948e-06,0.21052631578947364,-15.22398178,20,2
4.800000000000002,5.506250206371892e-06,4.800000000000002,5.506250206371892e-06,0.20833333333333326,-15.24685855,20,2
4.850000000000001,6.022371084263366e-06,4.850000000000001,6.022371084263366e-06,0.2061855670103092,-15.17798692,20,2
4.900000000000001,7.737560290440846e-06,4.900000000000001,7.737560290440846e-06,0.20408163265306117,-14.94789454,20,2
4.950000000000001,7.748892489697522e-06,4.950000000000001,7.748892489697522e-06,0.202020202,-14.96673578,20,2
5.000000000000001,9.230562843707234e-06,5.000000000000001,9.230562843707234e-06,0.19999999999999996,-14.81186636,20,2
5.050000000000002,8.00343575971962e-06,5.050000000000002,8.00343575971962e-06,0.19801980198019795,-14.97441613,20,2
5.100000000000001,7.904904496149543e-06,5.100000000000001,7.904904496149543e-06,0.19607843137254896,-15.00650825,20,2
5.150000000000001,8.971898965856726e-06,5.150000000000001,8.971898965856726e-06,0.19417475728155334,-14.89940663,20,2
5.200000000000001,1.016475165169513e-05,5.200000000000001,1.016475165169513e-05,0.19230769230769226,-14.79390179,20,2
5.250000000000002,1.0689375439407962e-05,5.250000000000002,1.0689375439407962e-05,0.1904761904761904,-14.76271641,20,2
5.300000000000002,9.521308826695214e-06,5.300000000000002,9.521308826695214e-06,0.1886792452830188,-14.89739188,20,2
5.350000000000001,1.1862961168068892e-05,5.350000000000001,1.1862961168068892e-05,0.18691588785046723,-14.69628264,20,2
5.400000000000001,1.2795973702889615e-05,5.400000000000001,1.2795973702889615e-05,0.18518518518518515,-14.6391779,20,2
5.450000000000001,1.8563767293971126e-05,5.450000000000001,1.8563767293971126e-05,0.18348623853211005,-14.28553009,20,2
5.500000000000002,1.795139225310024e-05,5.500000000000002,1.795139225310024e-05,0.18181818181818177,-14.33733907,20,2
5.550000000000002,1.2995820311170867e-05,5.550000000000002,1.2995820311170867e-05,0.18018018018018012,-14.67847862,20,2
5.600000000000001,1.4822319411511324e-05,5.600000000000001,1.4822319411511324e-05,0.17857142857142852,-14.56490964,20,2
5.650000000000001,1.3279209559793014e-05,5.650000000000001,1.3279209559793014e-05,0.17699115044247785,-14.69262203,20,2
5.700000000000001,1.577694759814017e-05,5.700000000000001,1.577694759814017e-05,0.17543859649122803,-14.53789305,20,2
5.750000000000002,1.88175702389134e-05,5.750000000000002,1.88175702389134e-05,0.1739130434782608,-14.37911925,20,2
5.800000000000002,2.2378105459235726e-05,5.800000000000002,2.2378105459235726e-05,0.17241379310344823,-14.22314335,20,2
5.850000000000001,1.799958554029835e-05,5.850000000000001,1.799958554029835e-05,0.1709401709401709,-14.45804515,20,2
5.900000000000001,1.9098184857109315e-05,5.900000000000001,1.9098184857109315e-05,0.16949152542372878,-14.41582196,20,2
5.950000000000002,1.6305791146464364e-05,5.950000000000002,1.6305791146464364e-05,0.16806722689075626,-14.59077267,20,2
6.000000000000002,2.2494143112878067e-05,6.000000000000002,2.2494143112878067e-05,0.16666666666666663,-14.28577453,20,2
